HELI
heli	helicopter
heli3d	3d helicopter
heliscl	scale helicopter
acrmd	acro mode
hedhld	heading hold active
ratemd	rate mode active
3dpitch	3d pitch
3dpact	3d pitch active
3dpoff	3d pitch off
gyrhh	gyro heading hold
gyrrate	gyro rate mode
sclpitch	scale pitch
stblz	stabilize
stblzmd	stabilize mode
hvr	hover
hvrmd	hover mode
atmtc	automatic
atmtcmd	automatic mode
corslk	course lock
corslkm	course lock mode
homlk	home lock
homlkm	home lock mode
